
   # PLAYER                  :  RATING  POINTS  PLAYED   (%)  CFS(%)    W    D    L
  30 Alphonse02              :  2588.4    33.0      36    92     ---   31    4    1
  31 PrincepsCretaceus       :  2586.2    13.5      15    90     ---   13    1    1
  32 e3Gewinnt               :  2581.9     2.0       3    67     ---    2    0    1
  33 thosbe                  :  2569.7     5.0       6    83     ---    4    2    0
  34 mr_mojo_risin           :  2564.9     5.5       6    92     ---    5    1    0
  35 domecek37               :  2563.3    19.5      22    89     ---   19    1    2
  36 baazigar08              :  2541.5     0.5       1    50     ---    0    1    0
  37 Rapi46                  :  2539.9     7.0       8    88     ---    7    0    1
  38 frejlo_1971             :  2539.9    26.0      27    96     ---   25    2    0
  39 rolschottt              :  2532.9     6.5       8    81     ---    5    3    0
  40 ahmadkingchess          :  2522.8     8.0      16    50     ---    7    2    7
  41 maximgovorukha          :  2522.1    12.5      13    96     ---   12    1    0
  42 SpanishSlayer           :  2517.9     1.5       2    75     ---    1    1    0
  43 Amphiox-01              :  2514.1     3.5       6    58     ---    1    5    0
  44 neverBorn               :  2508.0    11.5      12    96     ---   11    1    0
  45 PositionalMaster1       :  2505.5    18.0      20    90     ---   18    0    2
  46 Southstream007          :  2504.8     3.5       4    88     ---    3    1    0
  47 DaveRon                 :  2504.1     5.0       6    83     ---    4    2    0
  48 JungleChessTheBest      :  2502.4     8.0       9    89     ---    8    0    1
  49 krijo                   :  2502.0     5.5       7    79     ---    4    3    0
  50 Pahlof                  :  2494.4    11.0      12    92     ---   10    2    0
  51 dtn70                   :  2489.0     4.0       7    57     ---    3    2    2
  52 SimpleVar               :  2486.1     3.0       4    75     ---    3    0    1
  53 Tsunami2020             :  2474.4     4.0       6    67     ---    4    0    2
  54 noobfurieux             :  2472.4     9.0      10    90     ---    9    0    1
  55 Joueurs                 :  2471.5    11.0      12    92     ---   10    2    0
  56 chowderhead             :  2468.8     3.5       4    88     ---    3    1    0
  57 ayshinmikey             :  2463.8     3.0       5    60     ---    2    2    1
  58 WouterLF                :  2463.7     1.0       2    50     ---    1    0    1
  59 TD02                    :  2462.7    23.5      32    73     ---   15   17    0
  60 piltrafilla1            :  2461.5     7.0       8    88     ---    7    0    1
  61 nilete                  :  2459.9     7.0       8    88     ---    6    2    0
  62 Branwell                :  2455.0     2.0       4    50     ---    2    0    2
  63 harishbn                :  2454.8    16.0      17    94     ---   15    2    0
  64 Pietbull                :  2454.1     9.0      11    82     ---    9    0    2
  65 Letzte-Instanz          :  2449.6     1.0       2    50     ---    1    0    1
  66 marcolino1              :  2444.9    32.0      33    97     ---   32    0    1
  67 KingKong2120            :  2441.2     5.0       6    83     ---    5    0    1
  68 ClouRise                :  2440.5    10.0      11    91     ---   10    0    1
  69 dan_klet                :  2440.1     9.5      10    95     ---    9    1    0
  70 Maverikke               :  2439.5     9.0      10    90     ---    9    0    1
  71 Wurzel123               :  2438.5     8.0       9    89     ---    8    0    1
  72 tsaklidis               :  2435.5     4.0       5    80     ---    4    0    1
  73 qech                    :  2433.3     4.0       5    80     ---    4    0    1
  74 USFischer13565          :  2431.0     1.5       2    75     ---    1    1    0
  75 Ramanovich_Maryia       :  2430.0     3.0       5    60     ---    3    0    2
  76 Olegivanovich           :  2429.4     2.5       4    62     ---    2    1    1
  77 CoolChessPlayer6        :  2429.1    50.0      53    94     ---   49    2    2
  78 ChessStrawberry2020     :  2428.5     0.5       2    25     ---    0    1    1
  79 DefinitelyNotGood       :  2428.3     4.0      11    36     ---    2    4    5
  80 LatheefChess            :  2426.9     2.5       5    50     ---    2    1    2
  81 moranebob59             :  2424.2     4.0       5    80     ---    4    0    1
  82 gninubit                :  2423.5     1.0       2    50     ---    1    0    1
  83 Crujerov1               :  2423.5     9.5      16    59     ---    7    5    4
  84 SSSSCCCC                :  2416.4     8.0       9    89     ---    8    0    1
  85 rejanmar                :  2415.6     7.0       8    88     ---    6    2    0
  86 JOSEAPEREZGUTIERREZ     :  2414.6     7.0      10    70     ---    7    0    3
  87 VictorPolovchenya       :  2408.4     9.5      10    95     ---    9    1    0
  88 MrDANYB                 :  2407.8     3.0       4    75     ---    3    0    1
  89 giga_chad_2708          :  2407.1     4.0       5    80     ---    4    0    1
  90 balitus                 :  2404.0    16.0      19    84     ---   16    0    3
  91 sakkbagira              :  2400.6     3.5       9    39     ---    2    3    4
  92 DoctorEdgar             :  2400.0     2.5       3    83     ---    2    1    0
  93 Mikky2608               :  2396.9     9.0      10    90     ---    8    2    0
  94 bluesbird29             :  2394.6     1.5       2    75     ---    1    1    0
  95 AntonBirk               :  2388.4     7.0       9    78     ---    7    0    2
  96 bizarre_gene            :  2387.0     2.0       3    67     ---    2    0    1
  97 HattrickWinner          :  2386.8     8.0      11    73     ---    6    4    1
  98 la_pioggia              :  2385.2     8.5       9    94     ---    8    1    0
  99 lampentom               :  2383.3     1.5       2    75     ---    1    1    0
 100 Lawnzilla               :  2378.7    10.5      12    88     ---   10    1    1
 101 LoneWolf71              :  2378.1     4.5       6    75     ---    4    1    1
 102 ulischumi               :  2377.8     2.5       3    83     ---    2    1    0
 103 Baribal1952             :  2375.5     3.5       4    88     ---    3    1    0
 104 Lord-Penguin            :  2374.0     1.5       2    75     ---    1    1    0
 105 yeti_tais               :  2372.4     1.0       2    50     ---    1    0    1
 106 DcDestroyer             :  2372.2     3.5       4    88     ---    3    1    0
 107 minosaurus              :  2370.4    30.5      35    87     ---   30    1    4
 108 Richeck                 :  2368.6     3.0       4    75     ---    3    0    1
 109 papiber                 :  2368.0     3.5       4    88     ---    3    1    0
 110 Tano75                  :  2366.4     2.0       3    67     ---    2    0    1
 111 FearlessButton          :  2358.6     7.5       8    94     ---    7    1    0
 112 MorSem89                :  2342.4     2.0       3    67     ---    2    0    1
 113 unprasad72              :  2341.9     1.5       3    50     ---    1    1    1
 114 marko_L021              :  2341.2     7.5      12    62     ---    6    3    3
 115 freebird_kiev           :  2338.6     7.5       9    83     ---    7    1    1
 116 SachsenHeiko            :  2337.9     5.0       6    83     ---    4    2    0
 117 snappie                 :  2334.3     2.5       3    83     ---    2    1    0
 118 G-R-F                   :  2332.7     6.0       7    86     ---    6    0    1
 119 tese1969                :  2330.6     4.0       5    80     ---    4    0    1
 120 NRTG                    :  2330.3    30.0      31    97     ---   29    2    0
 121 BustahKeaton            :  2326.9     2.5       3    83     ---    2    1    0
 122 bab64                   :  2324.3     7.5      10    75     ---    7    1    2
 123 labestia5               :  2322.2     1.5       2    75     ---    1    1    0
 124 weBNimz0                :  2321.8     4.5       7    64     ---    3    3    1
 125 rid21                   :  2319.4     3.5       8    44     ---    2    3    3
 126 MaxR2723                :  2319.0    22.0      32    69     ---   16   12    4
 127 Bulldogfan1998          :  2315.6     8.0      11    73     ---    7    2    2
 128 onwelk                  :  2313.1   138.0     158    87     ---  130   16   12
 129 Grand-Suomi             :  2308.7     3.0       5    60     ---    3    0    2
 130 Ticco                   :  2307.2     7.5      10    75     ---    7    1    2
 131 LOlomar                 :  2305.8     4.5       5    90     ---    4    1    0
 132 Igor250866              :  2300.1     2.0       5    40     ---    2    0    3
 133 kleineLocke             :  2296.8     2.5       3    83     ---    2    1    0
 134 jakk_o                  :  2296.5     9.0      11    82     ---    9    0    2
 135 krjk92                  :  2292.0     0.5       1    50     ---    0    1    0
 136 nibrchess               :  2291.4     4.0       5    80     ---    4    0    1
 137 ange0106                :  2290.9     9.5      14    68     ---    7    5    2
 138 DakaNess                :  2290.6     9.0      13    69     ---    6    6    1
 139 Trener_ot_boga          :  2289.2     7.0       8    88     ---    7    0    1
 140 neasap                  :  2288.7     2.0       3    67     ---    1    2    0
 141 JuriyAlexandrov         :  2280.9    11.0      21    52     ---   10    2    9
 142 andrei-sm               :  2280.9     4.5       6    75     ---    4    1    1
 143 AlexKr70                :  2279.4     1.0       2    50     ---    1    0    1
 144 tetron2435              :  2279.4     4.0       5    80     ---    4    0    1
 145 qpwoeirut               :  2278.7     1.0       2    50     ---    1    0    1
 146 caluix                  :  2278.2    10.0      11    91     ---   10    0    1
 147 Orange-tn               :  2277.8     0.5       1    50     ---    0    1    0
 148 chessplayer1793         :  2277.2     2.5       6    42     ---    0    5    1
 149 Aleks-lexa              :  2276.0    12.0      13    92     ---   11    2    0
 150 CelestineProphet        :  2272.8     4.0       7    57     ---    4    0    3
 151 cure_89                 :  2271.8     1.0       2    50     ---    1    0    1
 152 Wicks                   :  2271.5     6.0       8    75     ---    5    2    1
 153 DonJohn1337             :  2270.5     4.5       5    90     ---    4    1    0
 154 srakhmanov              :  2269.6     2.0       3    67     ---    1    2    0
 155 Greatpelle              :  2269.2     2.0       3    67     ---    2    0    1
 156 mailonsunday            :  2269.1     2.0       3    67     ---    2    0    1
 157 okbaym                  :  2268.0     3.0       4    75     ---    3    0    1
 158 rugat                   :  2267.5     3.0       4    75     ---    3    0    1
 159 arxitektor1             :  2267.4     3.5       5    70     ---    3    1    1
 160 bartmadden              :  2264.8    15.0      16    94     ---   15    0    1
 161 ctokc                   :  2262.5     7.0       8    88     ---    7    0    1
 162 xfzi                    :  2261.8     7.0       8    88     ---    7    0    1
 163 spartiake               :  2260.5     1.0       4    25     ---    1    0    3
 164 snigirev                :  2259.5     5.5       6    92     ---    5    1    0
 165 cinque0621              :  2257.4     2.5       3    83     ---    2    1    0
 166 bad_at_opening          :  2256.2     1.5       2    75     ---    1    1    0
 167 gizfact                 :  2256.1     4.0       5    80     ---    3    2    0
